# Drop-in parity manifest — the significant upstream libraries Unbrowse commits to
# being a TRUE, zero-edit drop-in for, in the upstream's own syntax, attributing them.
#
# A row is GREEN (in scripts/dropin-parity-gate.sh) only when ALL of:
#   1. the shim package exists (shim_path/package.json)
#   2. its README attributes the upstream (mentions upstream_npm) AND says "drop-in"
#   3. its parity test passes (proves it provides the upstream's public surface)
#
# Adding a new significant library = adding a row here. The row is RED until its
# drop-in is built to parity — features extend the benchmark. The gate is the
# witness for /jesus-ralph: it exits 0 only when EVERY committed gap is filled.
#
# Distribution (forking each upstream repo + opening an attributing PR that adds
# Unbrowse as the drop-in) is tracked, honestly, in scripts/dropin-distribution.tsv
# — that is self-asserted, NOT part of this runnable gate.
#
# columns:  upstream_npm <TAB> unbrowse_shim <TAB> shim_path <TAB> readme <TAB> parity_test
@mendable/firecrawl-js	@unbrowse/firecrawl-shim	packages/firecrawl-shim	packages/firecrawl-shim/README.md	packages/firecrawl-shim/test/shape.test.ts
playwright	@unbrowse/playwright-shim	packages/playwright-shim	packages/playwright-shim/README.md	packages/playwright-shim/test/shape.test.ts
@browserbasehq/stagehand	@unbrowse/stagehand-shim	packages/stagehand-shim	packages/stagehand-shim/README.md	packages/stagehand-shim/test/shape.test.ts
fetch	@unbrowse/client	packages/sdk-v2	packages/sdk-v2/README.md	tests/unfetch-dropin.test.ts
axios	@unbrowse/axios-shim	packages/axios-shim	packages/axios-shim/README.md	packages/axios-shim/test/shape.test.ts
puppeteer	@unbrowse/puppeteer-shim	packages/puppeteer-shim	packages/puppeteer-shim/README.md	packages/puppeteer-shim/test/shape.test.ts
node-fetch	@unbrowse/node-fetch-shim	packages/node-fetch-shim	packages/node-fetch-shim/README.md	packages/node-fetch-shim/test/shape.test.ts
got	@unbrowse/got-shim	packages/got-shim	packages/got-shim/README.md	packages/got-shim/test/shape.test.ts
ky	@unbrowse/ky-shim	packages/ky-shim	packages/ky-shim/README.md	packages/ky-shim/test/shape.test.ts
cross-fetch	@unbrowse/cross-fetch-shim	packages/cross-fetch-shim	packages/cross-fetch-shim/README.md	packages/cross-fetch-shim/test/shape.test.ts
undici	@unbrowse/undici-shim	packages/undici-shim	packages/undici-shim/README.md	packages/undici-shim/test/shape.test.ts
superagent	@unbrowse/superagent-shim	packages/superagent-shim	packages/superagent-shim/README.md	packages/superagent-shim/test/shape.test.ts
wretch	@unbrowse/wretch-shim	packages/wretch-shim	packages/wretch-shim/README.md	packages/wretch-shim/test/shape.test.ts
selenium-webdriver	@unbrowse/selenium-shim	packages/selenium-shim	packages/selenium-shim/README.md	packages/selenium-shim/test/shape.test.ts
exa-js	@unbrowse/exa-shim	packages/exa-shim	packages/exa-shim/README.md	packages/exa-shim/test/shape.test.ts
@tavily/core	@unbrowse/tavily-shim	packages/tavily-shim	packages/tavily-shim/README.md	packages/tavily-shim/test/shape.test.ts
