# backend module <TAB> paper-id   — FIRST-CUT topical map (which paper discusses this module).
# Editable data, reviewed by hand. Modules absent from this file are ORPHANS (no paper represents them).
# paper-id ∈ internal-apis | energy-ranking | execute | crypto | maintenance | out-of-scope
#   out-of-scope = the module is DELIBERATELY not paper-claimed (operational/growth/infra).
#   A module absent from this file entirely is an ORPHAN (not-yet-triaged) — drive that count to zero.
# Generated/checked by paper/scripts/backend-paper-coverage.py. This is the REVERSE of anchors.tsv
# (anchors.tsv = paper-claim → code; this = code → paper). Topical ≠ anchored: an entry here only
# claims the paper discusses the subsystem, not that a gate-enforced claim anchor exists.

# --- internal-apis: shadow APIs, shared discovery, the route library, capture→resolve→execute ---
routes/extract	internal-apis
routes/reveng	internal-apis
routes/skills	internal-apis
routes/contract	internal-apis
routes/demos	internal-apis
services/discovery	internal-apis
services/descriptions	internal-apis
services/skillmd	internal-apis
services/neural-contract	internal-apis
services/contract-ledger	internal-apis
services/contract-ledger-kv	internal-apis
services/stateless-substrate	internal-apis

# --- energy-ranking: energy-based selection over the route library ---
routes/search	energy-ranking
routes/graph	energy-ranking
services/rank	energy-ranking
services/rank-bm25	energy-ranking
services/rank-freshness	energy-ranking
services/rank-noise-patterns	energy-ranking
services/scoring	energy-ranking
services/popularity	energy-ranking
services/graph-confidence	energy-ranking
services/graph	energy-ranking
services/semantic-augment	energy-ranking
services/semantic-cache	energy-ranking

# --- execute: execute-don't-guess, small-model tool routing / the execute path ---
routes/openai-tools	execute
routes/llm	execute
services/openai-tools	execute
services/unbrowse-llm	execute
services/meter-on-execute	execute

# --- crypto: signed layer-descending stack — identity, auth, payments, ZK, settlement, economics ---
routes/account	crypto
routes/auth	crypto
routes/billing	crypto
routes/credits	crypto
routes/claim	crypto
routes/fees	crypto
routes/transactions	crypto
routes/wallet	crypto
routes/covenant	crypto
services/flex	crypto
services/flex-facilitator	crypto
services/flex-metered	crypto
services/flex-payment-terms	crypto
services/flex-route-helpers	crypto
services/flex-upto-handler	crypto
services/sponsor-flex	crypto
services/sponsor-pay	crypto
services/sponsor-pool	crypto
services/sponsor-session-key	crypto
services/settlement	crypto
services/splits	crypto
services/crypto-sub	crypto
services/declare-signature	crypto
services/exec-token	crypto
services/privy	crypto
services/wallet-balance	crypto
services/wallet-signer	crypto
services/proof-verifier	crypto
services/domain-claim	crypto
services/domain-claim-effects	crypto
services/domain-reservations	crypto
services/domain-suppression	crypto
services/domain-verifier	crypto
services/stripe	crypto
services/stripe-grants	crypto
services/stripe-meter-ring	crypto
services/stripe-tier-detection	crypto
services/user-credits	crypto
services/credits	crypto
services/fees	crypto
services/keys	crypto
services/xgate	crypto
services/covenant-core	crypto
services/covenant-peer	crypto
services/economics	crypto
middleware/sponsor	crypto
middleware/x402-gate	crypto
middleware/exec-token	crypto
middleware/flex-onboarding-required	crypto
middleware/flex-onboarding-soft-block	crypto

# --- maintenance: proof of indexing, freshness, bonded accountability, the shared route graph ---
routes/miners	maintenance
routes/attribution	maintenance
routes/trace	maintenance
routes/audit	maintenance
routes/synthetic	maintenance
services/marketplace	maintenance
services/miner-demand	maintenance
services/miner-demand-derive	maintenance
